pickup_community_area,name
8.0,Near North Side
32.0,Loop
28.0,Near West Side
6.0,Lake View
76.0,O'Hare Airport
7.0,Lincoln Park
24.0,West Town
33.0,Near South Side
3.0,Uptown
56.0,Garfield Ridge
22.0,Logan Square
77.0,Edgewater
5.0,North Center
4.0,Lincoln Square
16.0,Irving Park
1.0,Rogers Park
41.0,Hyde Park
2.0,West Ridge
21.0,Avondale
14.0,Albany Park
35.0,Douglas
11.0,Jefferson Park
39.0,Kenwood
34.0,Armour Square
31.0,Lower West Side
59.0,Mckinley Park
15.0,Portage Park
13.0,North Park
10.0,Norwood Park
25.0,Austin
23.0,Humboldt Park
60.0,Bridgeport
42.0,Woodlawn
43.0,South Shore
38.0,Grand Boulevard
19.0,Belmont Cragin
12.0,Forest Glen
44.0,Chatham
17.0,Dunning
30.0,South Lawndale
49.0,Roseland
27.0,East Garfield Park
20.0,Hermosa
58.0,Brighton Park
69.0,Greater Grand Crossing
29.0,North Lawndale
61.0,New City
36.0,Oakland
40.0,Washington Park
64.0,Clearing
68.0,Englewood
57.0,Archer Heights
46.0,South Chicago
71.0,Auburn Gresham
62.0,West Elsdon
66.0,Chicago Lawn
26.0,West Garfield Park
48.0,Calumet Heights
18.0,Montclare
67.0,West Englewood
70.0,Ashburn
37.0,Fuller Park
65.0,West Lawn
63.0,Gage Park
45.0,Avalon Park
73.0,Washington Heights
51.0,South Deering
9.0,Edison Park
53.0,West Pullman
75.0,Morgan Park
72.0,Beverly
50.0,Pullman
47.0,Burnside
52.0,East Side
55.0,Hegewisch
74.0,Mount Greenwood
54.0,Riverdale
,
